scenario,asset_id,name,timestamp,tmrt_mean_10m,utci_mean_10m,utci_category,feasibility_this_scenario,feasibility_phase2_baseline,feasibility_phase1_proxy,utci_delta_vs_baseline,decision_changed_vs_phase2_baseline
SENS_A_minus10pct,A16,Fuente de Neptuno,18:00,58.9,44.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,-0.7,False
SENS_A_minus10pct,A17,Estatua de Goya,18:00,54.1,43.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.5,False
SENS_A_minus10pct,A18,Palacio de Cibeles - Ayuntamiento de Madrid,18:00,51.1,42.7,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.3,False
SENS_A_minus10pct,A19,Real Observatorio de Madrid,18:00,45.9,41.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,-0.2,False
SENS_A_minus10pct,A20,Parque del Retiro,18:00,39.5,40.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.0,False
SENS_A_minus10pct,A21,Real Jardín Botánico de Madrid,18:00,38.8,39.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.0,False
SENS_A_minus10pct,A22,Palacio de Cristal,18:00,50.7,42.6,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.3,False
SENS_A_minus10pct,A23,Jardines de Cecilio Rodríguez,18:00,47.0,41.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.1,False
SENS_A_minus10pct,A24,La Rosaleda,18:00,60.2,44.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.6,False
SENS_A_minus10pct,A25,Jardín del Parterre,18:00,51.2,42.7,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.2,False
SENS_A_minus10pct,A26,Monumento a Alfonso XII,18:00,54.7,43.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,-0.4,False
SENS_A_minus10pct,A27,Jardines del Arquitecto Herrero Palacios,18:00,47.8,42.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.2,False
SENS_B_minus20pct,A14,Puerta de Alcalá,12:00,48.2,36.2,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.6,False
SENS_B_minus20pct,A15,Fuente de Cibeles,12:00,54.2,37.7,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-2.3,False
SENS_B_minus20pct,A16,Fuente de Neptuno,12:00,59.3,38.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-1.8,False
SENS_B_minus20pct,A17,Estatua de Goya,12:00,38.2,33.9,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,0.0,False
SENS_B_minus20pct,A18,Palacio de Cibeles - Ayuntamiento de Madrid,12:00,55.8,38.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-1.0,False
SENS_B_minus20pct,A19,Real Observatorio de Madrid,12:00,38.2,33.8,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.2,False
SENS_B_minus20pct,A20,Parque del Retiro,12:00,36.8,33.5,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-0.2,False
SENS_B_minus20pct,A21,Real Jardín Botánico de Madrid,12:00,32.9,32.6,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,0.2,False
SENS_B_minus20pct,A22,Palacio de Cristal,12:00,48.6,36.3,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-0.5,False
SENS_B_minus20pct,A23,Jardines de Cecilio Rodríguez,12:00,55.9,38.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-1.3,False
SENS_B_minus20pct,A24,La Rosaleda,12:00,59.9,39.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-1.4,False
SENS_B_minus20pct,A25,Jardín del Parterre,12:00,59.4,38.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-1.4,False
